FIPS,selection_ratio,ci,urban_code,incidents,frequency,black,white,bwratio,year,cat,slci,selection_ratio_log10
01073,1.4642924212998405,0.3817706309646365,1,220,"536,179",11003712.0,14732904.0,0.747,2012,S>1,1.464 ± 0.382,0.16562781461535814
04003,2.715874481797608,2.813729869421842,4,18,"104,088",72373.0,1384859.0,0.052,2012,Low confidence,2.716 ± 2.814,0.43390969450304007
04013,2.101267066075704,0.4476114186715757,1,762,"2,961,444",23048454.0,367862220.0,0.063,2012,S>1,2.101 ± 0.448,0.3224812537157762
04021,1.2774191058121014,0.9821974825818122,2,78,"279,443",344229.5,6082971.0,0.057,2012,Low confidence,1.277 ± 0.982,0.10633340742766226
04027,3.6212591315876295,1.6745235155157845,4,173,"155,898",77895.0,2728278.0,0.029,2012,S>1,3.621 ± 1.675,0.5588596033566213
05001,3.619611545668627,1.721601236937955,6,57,"15,619",26523.0,82810.0,0.32,2012,S>1,3.62 ± 1.722,0.5586619648356957
05003,5.495833747240757,3.2225680750962296,6,42,"17,676",41049.0,118035.0,0.348,2012,S>2,5.496 ± 3.223,0.7400335865427567
05005,13.956401050194865,10.38694218321822,5,65,"35,231",588.0,281264.0,0.002,2012,S>2,13.956 ± 10.387,1.1447734408121901
05007,1.9788211529861144,0.7082938845558351,3,712,"174,978",68379.0,3956126.5,0.017,2012,S>1,1.979 ± 0.708,0.29640654419064977
05009,5.313668199970108,4.856239271055571,5,95,"30,562",945.0,304675.0,0.003,2012,Low confidence,5.314 ± 4.856,0.7253944323811933
05011,8.26790331153437,10.005222813556198,6,5,"9,166",13090.0,32742.5,0.4,2012,Low confidence,8.268 ± 10.005,0.91739538915595
05013,1.40559493582913,1.4697293739177997,5,9,"4,546",2965.5,10672.5,0.278,2012,Low confidence,1.406 ± 1.47,0.14786018378502866
05015,4.257962369935353,4.403589874421543,6,50,"22,470",565.0,111787.5,0.005,2012,Low confidence,4.258 ± 4.404,0.6292018190089163
05017,3.169517899469408,3.092219752222165,6,16,"9,453",20602.0,17210.0,1.197,2012,Low confidence,3.17 ± 3.092,0.5009932087405369
05019,2.072435608032185,0.7507508129185644,5,100,"19,207",27498.0,87747.0,0.313,2012,S>1,2.072 ± 0.751,0.3164810456103723
05021,4.945091755783346,5.16566441821148,6,37,"13,158",270.0,65520.0,0.004,2012,Low confidence,4.945 ± 5.166,0.694174354307453
05023,6.003795980477108,5.473624966560344,6,67,"21,813",539.0,152155.5,0.004,2012,Low confidence,6.004 ± 5.474,0.7784259257333839
05025,4.449298317406395,6.1028703532228405,4,1,"7,129",4055.0,31590.0,0.128,2012,Low confidence,4.449 ± 6.103,0.64829152538393
05027,2.9712477202115823,2.086149267235815,5,27,"20,345",36910.0,64815.0,0.569,2012,Low confidence,2.971 ± 2.086,0.4729388615095107
05029,3.370962951839869,1.0851722468224638,6,119,"17,224",13786.5,106785.0,0.129,2012,S>2,3.371 ± 1.085,0.5277539794862862
05031,5.963267658857423,0.783348026843532,4,612,"80,130",184212.0,1258137.0,0.146,2012,S>5,5.963 ± 0.783,0.7754843029154219
05033,4.488958140644005,3.056892124343563,3,96,"48,043",11296.5,805434.5,0.014,2012,S>1,4.489 ± 3.057,0.6521455556417766
05035,2.4414813348198314,0.5827068253361392,2,296,"39,627",219527.0,216370.0,1.015,2012,S>1,2.441 ± 0.583,0.38765340844167134
05037,3.8942098559210288,1.8535782189008607,6,56,"14,499",16217.5,56280.0,0.288,2012,S>2,3.894 ± 1.854,0.5904193516043368
05039,1.9536453903122064,2.1991761230558864,6,6,"6,634",8301.0,11601.0,0.716,2012,Low confidence,1.954 ± 2.199,0.29084573696378924
05041,0.7235557898009705,0.7567557255434749,6,8,"10,138",24215.0,26477.5,0.915,2012,Low confidence,0.724 ± 0.757,-0.14052797695878327
05043,3.165131544425698,1.4572952029641668,6,62,"15,625",26592.0,67158.0,0.396,2012,S>1,3.165 ± 1.457,0.5003917642209993
05045,5.60481659355785,0.9946782185433918,3,399,"94,882",81608.0,677448.0,0.12,2012,S>2,5.605 ± 0.995,0.7485614057429473
05047,6.7718067198739975,6.535950638594521,6,30,"14,518",597.5,71992.5,0.008,2012,Low confidence,6.772 ± 6.536,0.8307045540308016
05049,25.0735530168308,16.22740925591827,6,15,"10,252",128.0,40880.0,0.003,2012,S>5,25.074 ± 16.227,1.399215879481558
05051,6.214863201628089,2.56629806567732,4,85,"80,606",45325.0,518920.5,0.087,2012,S>2,6.215 ± 2.566,0.7934315736161335
05053,4.206787515603303,4.67891049978226,3,13,"14,874",695.0,29054.0,0.024,2012,Low confidence,4.207 ± 4.679,0.6239505764021916
05055,16.84347980693594,9.580393722225049,5,56,"35,132",3171.0,488677.0,0.006,2012,S>5,16.843 ± 9.58,1.2264318202294782
05057,1.0713179656236669,1.2775921107640391,6,5,"17,742",21190.0,49778.0,0.426,2012,Low confidence,1.071 ± 1.278,0.029918387938488066
05059,4.423990268834738,4.522008198884844,5,9,"27,925",28588.5,222741.0,0.128,2012,Low confidence,4.424 ± 4.522,0.6458141630082097
05061,5.582486819824013,2.3259290222654583,6,72,"10,894",11407.5,43062.5,0.265,2012,S>2,5.582 ± 2.326,0.7468277063812796
05063,9.518149436181975,5.396080118445221,5,54,"29,935",3606.0,176004.0,0.02,2012,S>2,9.518 ± 5.396,0.978552518996019
05065,6.496921272643514,7.32320704746535,6,11,"11,553",526.5,34134.0,0.015,2012,Low confidence,6.497 ± 7.323,0.812707604172841
05067,0.3015492334021013,0.319590244145815,6,27,"14,833",19836.0,98828.0,0.201,2012,S<1,0.302 ± 0.32,-0.5206417712542468
05069,3.019691346520033,0.9371559077037808,4,229,"61,308",573248.5,468987.5,1.222,2012,S>2,3.02 ± 0.937,0.4799625544294608
05071,6.001463369923674,4.47396171346702,6,42,"20,599",2388.0,121206.0,0.02,2012,S>1,6.001 ± 4.474,0.7782571597159301
05073,1.0418655042442502,0.8670521627045842,6,16,"6,291",9312.0,15852.0,0.587,2012,Low confidence,1.042 ± 0.867,0.01781165894953289
05075,25.222179966802763,24.03537563696429,6,11,"14,228",956.0,112868.0,0.008,2012,S>1,25.222 ± 24.035,1.4017826201687853
05077,1.9254463182960384,2.4529528621542926,6,3,"8,606",14316.0,11503.5,1.244,2012,Low confidence,1.925 ± 2.453,0.28453141493859885
05079,2.195926588956333,1.6990684712940112,4,19,"12,238",19240.0,41950.0,0.459,2012,Low confidence,2.196 ± 1.699,0.34161781731535573
05081,2.028399474917969,1.6456719132094937,4,18,"10,514",6414.0,25128.0,0.255,2012,Low confidence,2.028 ± 1.646,0.3071534894521232
05083,5.838080489066904,5.828051559457383,6,24,"17,760",1040.0,70000.0,0.015,2012,Low confidence,5.838 ± 5.828,0.7662700782704679
05085,2.496191639381896,0.9433828131490956,3,179,"55,507",36278.0,574299.0,0.063,2012,S>1,2.496 ± 0.943,0.39727792425204284
05087,11.973407545632774,13.106594592945754,3,16,"12,675",112.5,37912.5,0.003,2012,Low confidence,11.973 ± 13.107,1.0782177650817504
05089,3.258875960943372,3.3325451563129387,6,73,"14,290",146.0,57014.0,0.003,2012,Low confidence,3.259 ± 3.333,0.5130678307004898
05091,2.8919629834715765,1.0079255347696146,4,111,"35,348",42302.5,134440.0,0.315,2012,S>1,2.892 ± 1.008,0.4611927297784689
05093,3.177965895152936,1.026957508416367,5,141,"36,291",146610.0,288882.0,0.508,2012,S>2,3.178 ± 1.027,0.5021492321959794
05095,1.357327460636949,1.8008723701240956,6,2,"6,563",10638.0,15616.0,0.681,2012,Low confidence,1.357 ± 1.801,0.13268463556791674
05099,3.0726342925652563,2.9193686354453545,6,11,"7,340",6829.5,15190.5,0.45,2012,Low confidence,3.073 ± 2.919,0.48751087324946346
05103,2.1524437931860017,1.1970431315600147,5,44,"20,942",74902.5,113575.5,0.659,2012,Low confidence,2.152 ± 1.197,0.33293181953202194
05105,23.169077479529648,31.782709260537835,3,1,"8,595",626.0,33756.0,0.019,2012,Low confidence,23.169 ± 31.783,1.3649087418812211
05107,2.074634031357426,0.9759148340232836,5,87,"16,652",143640.0,89488.0,1.605,2012,S>1,2.075 ± 0.976,0.31694149758803264
05109,2.544216323352607,1.502357713286912,6,72,"9,178",939.0,26596.5,0.035,2012,S>1,2.544 ± 1.502,0.4055540346667221
05111,3.123907084876312,1.2555630951925194,4,104,"20,067",12924.0,167679.0,0.077,2012,S>1,3.124 ± 1.256,0.4946981080715865
05113,7.29929452270951,7.665914692071173,6,33,"16,427",188.0,65522.0,0.003,2012,Low confidence,7.299 ± 7.666,0.8632808875588188
05115,5.245751217944514,2.157888153067696,5,133,"50,688",22635.0,737692.5,0.031,2012,S>2,5.246 ± 2.158,0.7198076901361711
05117,3.1497118504364177,4.150915922687732,6,2,"7,210",4307.5,31745.0,0.136,2012,Low confidence,3.15 ± 4.151,0.4982708244278503
05119,2.5652253325081,0.2462387923639265,3,1569,"309,958",4526584.5,8181714.0,0.553,2012,S>2,2.565 ± 0.246,0.4091255200781024
05121,5.10529084236711,5.447162244127434,6,24,"14,779",522.0,58594.0,0.009,2012,Low confidence,5.105 ± 5.447,0.7080204883694855
05123,5.113792300488571,2.5129165427404856,5,113,"22,965",107122.5,99562.5,1.076,2012,S>2,5.114 ± 2.513,0.708743084937188
05125,5.533270019068549,2.208996494457396,3,111,"90,613",81523.5,1458906.0,0.056,2012,S>2,5.533 ± 2.209,0.7429818639481388
05127,8.627280532468074,7.931318325509624,6,23,"8,465",87.0,16843.0,0.005,2012,Low confidence,8.627 ± 7.931,0.9358739201802277
05129,10.335979401277644,11.549948578651074,6,12,"6,654",45.0,19918.5,0.002,2012,Low confidence,10.336 ± 11.55,1.0143516351401374
05131,3.517777512439077,0.8431140882547479,3,319,"95,648",100275.0,1334445.0,0.075,2012,S>2,3.518 ± 0.843,0.5462683683290767
05133,3.9056751321367273,2.5148592040928714,6,42,"12,904",1926.0,36787.5,0.052,2012,S>1,3.906 ± 2.515,0.5916961165278838
05135,7.619112128843296,8.217475962241918,6,20,"14,200",835.0,141170.0,0.006,2012,Low confidence,7.619 ± 8.217,0.8819043650390268
05137,5.969338752147172,6.246523268244661,6,35,"10,472",34.0,20911.0,0.002,2012,Low confidence,5.969 ± 6.247,0.7759262252334047
05139,4.326393108023908,2.149852608186797,5,64,"33,478",76125.0,158224.5,0.481,2012,S>2,4.326 ± 2.15,0.6361259780917652
05141,30.59934718233607,37.98808620034293,6,4,"14,380",441.0,85839.0,0.005,2012,Low confidence,30.599 ± 37.988,1.4857121611831023
05143,3.3318094044424904,0.6156977793318256,3,821,"159,801",116215.0,3399418.0,0.034,2012,S>2,3.332 ± 0.616,0.5226801497076162
05145,4.291592006893453,2.1643796779725,5,90,"63,983",61019.0,1410601.5,0.043,2012,S>2,4.292 ± 2.164,0.6326184277447358
05147,1.186631766446193,1.56317660985748,6,2,"5,896",8040.0,21442.5,0.375,2012,Low confidence,1.187 ± 1.563,0.0743159703351856
05149,3.058182431614144,3.263834669764364,5,24,"17,353",2222.5,119248.5,0.019,2012,Low confidence,3.058 ± 3.264,0.485463389081583
08001,1.063324620592728,0.1968437493819558,2,2354,"335,857",149562.0,3880722.0,0.039,2012,Low confidence,1.063 ± 0.197,0.026665869800838946
